Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
Combinatorial Creatures: Cortical Plasticity Within and Across Lifetimes,Leah Krubitzer,Simon Eickhoff,20210621,141000,20210621,150000,mainauditorium,AmericasEurope,Talairach,597643f6-aeb4-11eb-b5d4-1e00b921e125,uxe65JHaerBSenROXDZ1
INS-fMRI: a method for mapping mesoscale connectomes in nonhuman primates,Anna Wang Roe,Randy Gollub,20210622,141000,20210622,150000,mainauditorium,AmericasEurope,Keynote,597663a4-aeb4-11eb-b254-1e00b921e125,O0bHpZuQmm45CNZ0Ppt0
Integrating mesoscale human brain measurements in the human visual pathways,Dora Hermes,Aina Puce,20210624,141000,20210624,150000,mainauditorium,AmericasEurope,Keynote,59767952-aeb4-11eb-9315-1e00b921e125,h4ZUfpAojOLLd8YgOWWP
Neurodevelopment of the Association Cortices: Normative Patterns and Implications for Psychopathology,Ted Satterthwaite,Mallar Chakravarty,20210623,141000,20210623,150000,mainauditorium,AmericasEurope,Keynote,59768e62-aeb4-11eb-9898-1e00b921e125,TjQQ7qLqPPnKcb8UziWf
Characterizing Brain Microstructure Using Magnetic Resonance Imaging: Towards In-Vivo Histology,Nikolaus Weiskopf,Christophe Phillips,20210625,141000,20210625,150000,mainauditorium,AmericasEurope,Keynote,5976a31e-aeb4-11eb-aca8-1e00b921e125,KYaj6la0fTD3ET4nGs7e
Combinatorial Creatures: Cortical Plasticity Within and Across Lifetimes,Leah Krubitzer,Daniel Margulies,20210621,221000,20210621,230000,mainauditorium,AmericasAsia,Talairach,5976bb2e-aeb4-11eb-99b6-1e00b921e125,IIxmYexdUMms22LHrTrT
INS-fMRI: a method for mapping mesoscale connectomes in nonhuman primates,Anna Wang Roe,TBD,20210624,221000,20210624,230000,mainauditorium,AmericasAsia,Keynote,5976d034-aeb4-11eb-8972-1e00b921e125,X9N4uFAyfJ6tYgMzYf92
Integrating mesoscale human brain measurements in the human visual pathways,Dora Hermes,Sepideh Sadaghiani,20210622,221000,20210622,230000,mainauditorium,AmericasAsia,Keynote,5976e478-aeb4-11eb-854f-1e00b921e125,QyIChZWraja1J1biZFnR
Neurodevelopment of the Association Cortices: Normative Patterns and Implications for Psychopathology,Ted Satterthwaite,Emily Finn,20210625,221000,20210625,230000,mainauditorium,AmericasAsia,Keynote,5976f8b4-aeb4-11eb-962f-1e00b921e125,NjrR2XJyjcFBpXd7wMZl
Characterizing Brain Microstructure Using Magnetic Resonance Imaging: Towards In-Vivo Histology,Nikolaus Weiskopf,Aman Badhwar,20210623,221000,20210623,230000,mainauditorium,AmericasAsia,Keynote,59770d68-aeb4-11eb-aa40-1e00b921e125,Wap342qgc6uHoBZLZxuo
Neuroanatomy for Neuroimagers: Bringing a systems-level perspective to neuroimaging analyses,,,20210621,151000,20210621,160000,symposiumhall1,AmericasEurope,Symposium,59772186-aeb4-11eb-8336-1e00b921e125,HBymznWSKK7dPH4z2S49
Current frontiers in statistical inference for neuroimaging data,,,20210621,151000,20210621,160000,symposiumhall2,AmericasEurope,Symposium,59773568-aeb4-11eb-9f19-1e00b921e125,ZgN4vPJek1gWUnRlAXh5
"Neuromodulation of Disrupted Brain Networks: Mechanisms, Optimal Targeting, and Individual Treatment",,,20210621,151000,20210621,160000,symposiumhall3,AmericasEurope,Symposium,59774922-aeb4-11eb-a52c-1e00b921e125,EfCdkBBke5KBfU3E7ds5
All Hands on Deck: Patching the Leaky Academic Pipeline (SP SIG),,,20210621,151000,20210621,160000,symposiumhall4,AmericasEurope,Symposium,59775d0c-aeb4-11eb-b092-1e00b921e125,HiTtXvQVoUB44WQeiaJl
Neuroanatomy for Neuroimagers: Bringing a systems-level perspective to neuroimaging analyses,,,20210623,231000,20210624,0,symposiumhall1,AmericasAsia,Symposium,5977729e-aeb4-11eb-b74d-1e00b921e125,i3o2UnCotj12Giq6e947
Current frontiers in statistical inference for neuroimaging data,,,20210623,231000,20210624,0,symposiumhall2,AmericasAsia,Symposium,597788cc-aeb4-11eb-a9ea-1e00b921e125,gHBrDatBtZhQXJWC6Wh1
"Neuromodulation of Disrupted Brain Networks: Mechanisms, Optimal Targeting, and Individual Treatment",,,20210623,231000,20210624,0,symposiumhall3,AmericasAsia,Symposium,59779d6e-aeb4-11eb-9c61-1e00b921e125,6NvWb305goVTEP4pZVKh
All Hands on Deck: Patching the Leaky Academic Pipeline (SP SIG),,,20210623,231000,20210624,0,symposiumhall4,AmericasAsia,Symposium,5977b18c-aeb4-11eb-b6d8-1e00b921e125,nBogBhtrjDeDl0sqF0I6
Mapping cortical morphology in the human and non-human primate brain and relations to function,,,20210624,151000,20210624,160000,symposiumhall1,AmericasEurope,Symposium,5977c7da-aeb4-11eb-8f85-1e00b921e125,eJwTpjP44DU20IwCKzlr
OHBM-DGKN Alliance: International Symposium on Network Reorganization after Stroke,,,20210624,151000,20210624,160000,symposiumhall2,AmericasEurope,Symposium,5977dee6-aeb4-11eb-8f4a-1e00b921e125,oyadYFEHzBT2Wp0o2CPe
