Submission No,Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
1229,Evaluating the capabilities and challenges of layer-fMRI VASO at 3T,Renzo Huber,,20210625,160000,20210625,170000,poster1229,AmericasEurope,Poster,,poster1229AmericasEurope
1229,Evaluating the capabilities and challenges of layer-fMRI VASO at 3T,Renzo Huber,,20210623,0,20210623,10000,poster1229,AmericasAsia,Poster,,poster1229AmericasAsia
1229,Evaluating the capabilities and challenges of layer-fMRI VASO at 3T,Renzo Huber,,20210624,80000,20210624,100000,poster1229,EuropeAsia,Poster,,poster1229EuropeAsia
2011,Flexible Reconfigurations of Brain Networks in Decisions with Predefined vs. Self-Generated Option,Qianying Wu,,20210622,160000,20210622,170000,poster2011,AmericasEurope,Poster,,poster2011AmericasEurope
2011,Flexible Reconfigurations of Brain Networks in Decisions with Predefined vs. Self-Generated Option,Qianying Wu,,20210626,0,20210626,10000,poster2011,AmericasAsia,Poster,,poster2011AmericasAsia
2011,Flexible Reconfigurations of Brain Networks in Decisions with Predefined vs. Self-Generated Option,Qianying Wu,,20210624,80000,20210624,100000,poster2011,EuropeAsia,Poster,,poster2011EuropeAsia
1547,A Synergistic Core for Human Brain Evolution and Cognition,Andrea Luppi,,20210624,160000,20210624,170000,poster1547,AmericasEurope,Poster,,poster1547AmericasEurope
1547,A Synergistic Core for Human Brain Evolution and Cognition,Andrea Luppi,,20210624,0,20210624,10000,poster1547,AmericasAsia,Poster,,poster1547AmericasAsia
1547,A Synergistic Core for Human Brain Evolution and Cognition,Andrea Luppi,,20210622,80000,20210622,100000,poster1547,EuropeAsia,Poster,,poster1547EuropeAsia
1656,Brain volume from 3D ultrasound for fetal growth assessment using deep convolutional neural networks,Felipe Moser,,20210624,160000,20210624,170000,poster1656,AmericasEurope,Poster,,poster1656AmericasEurope
1656,Brain volume from 3D ultrasound for fetal growth assessment using deep convolutional neural networks,Felipe Moser,,20210624,0,20210624,10000,poster1656,AmericasAsia,Poster,,poster1656AmericasAsia
1656,Brain volume from 3D ultrasound for fetal growth assessment using deep convolutional neural networks,Felipe Moser,,20210622,80000,20210622,100000,poster1656,EuropeAsia,Poster,,poster1656EuropeAsia
1596,Chenonceau: an entire ex vivo human brain 11.7T anatomical and diffusion MRI dataset,Alexandros Popov,,20210625,160000,20210625,170000,poster1596,AmericasEurope,Poster,,poster1596AmericasEurope
1596,Chenonceau: an entire ex vivo human brain 11.7T anatomical and diffusion MRI dataset,Alexandros Popov,,20210623,0,20210623,10000,poster1596,AmericasAsia,Poster,,poster1596AmericasAsia
1596,Chenonceau: an entire ex vivo human brain 11.7T anatomical and diffusion MRI dataset,Alexandros Popov,,20210624,80000,20210624,100000,poster1596,EuropeAsia,Poster,,poster1596EuropeAsia
1671,"Effects of APOE genotype on subcortical volume: A study of 41,615 MRI scans from the UK Biobank",Alexandra Muir,,20210621,160000,20210621,170000,poster1671,AmericasEurope,Poster,,poster1671AmericasEurope
1671,"Effects of APOE genotype on subcortical volume: A study of 41,615 MRI scans from the UK Biobank",Alexandra Muir,,20210623,0,20210623,10000,poster1671,AmericasAsia,Poster,,poster1671AmericasAsia
1671,"Effects of APOE genotype on subcortical volume: A study of 41,615 MRI scans from the UK Biobank",Alexandra Muir,,20210624,80000,20210624,100000,poster1671,EuropeAsia,Poster,,poster1671EuropeAsia
2275,Effects of BOLD dynamic changes during micro-sleep on functional connectivity measures,Chun Siong Soon,,20210625,160000,20210625,170000,poster2275,AmericasEurope,Poster,,poster2275AmericasEurope
2275,Effects of BOLD dynamic changes during micro-sleep on functional connectivity measures,Chun Siong Soon,,20210622,0,20210622,10000,poster2275,AmericasAsia,Poster,,poster2275AmericasAsia
2275,Effects of BOLD dynamic changes during micro-sleep on functional connectivity measures,Chun Siong Soon,,20210624,80000,20210624,100000,poster2275,EuropeAsia,Poster,,poster2275EuropeAsia
2258,Estimating Multimodal Brain Age in the Whitehall II Imaging Sub-Study,Ann-Marie de Lange,,20210624,160000,20210624,170000,poster2258,AmericasEurope,Poster,,poster2258AmericasEurope
2258,Estimating Multimodal Brain Age in the Whitehall II Imaging Sub-Study,Ann-Marie de Lange,,20210624,0,20210624,10000,poster2258,AmericasAsia,Poster,,poster2258AmericasAsia
2258,Estimating Multimodal Brain Age in the Whitehall II Imaging Sub-Study,Ann-Marie de Lange,,20210622,80000,20210622,100000,poster2258,EuropeAsia,Poster,,poster2258EuropeAsia
1389,Layer-specific myeloarchitecture of human S1 hand area in younger and older adults at 7T-MRI,Juliane Doehler,,20210624,160000,20210624,170000,poster1389,AmericasEurope,Poster,,poster1389AmericasEurope
1389,Layer-specific myeloarchitecture of human S1 hand area in younger and older adults at 7T-MRI,Juliane Doehler,,20210624,0,20210624,10000,poster1389,AmericasAsia,Poster,,poster1389AmericasAsia
1389,Layer-specific myeloarchitecture of human S1 hand area in younger and older adults at 7T-MRI,Juliane Doehler,,20210622,80000,20210622,100000,poster1389,EuropeAsia,Poster,,poster1389EuropeAsia
1702,Loss of differentiation and complexity in the sleeping human brain: a multi-scale analysis,Andrea Pigorini,,20210622,160000,20210622,170000,poster1702,AmericasEurope,Poster,,poster1702AmericasEurope
1702,Loss of differentiation and complexity in the sleeping human brain: a multi-scale analysis,Andrea Pigorini,,20210622,0,20210622,10000,poster1702,AmericasAsia,Poster,,poster1702AmericasAsia
1702,Loss of differentiation and complexity in the sleeping human brain: a multi-scale analysis,Andrea Pigorini,,20210624,80000,20210624,100000,poster1702,EuropeAsia,Poster,,poster1702EuropeAsia
1619,Regional brain iron and gene expression shed light on neurodegeneration in Parkinsonâ€™s disease,George Thomas,,20210621,160000,20210621,170000,poster1619,AmericasEurope,Poster,,poster1619AmericasEurope
1619,Regional brain iron and gene expression shed light on neurodegeneration in Parkinsonâ€™s disease,George Thomas,,20210623,0,20210623,10000,poster1619,AmericasAsia,Poster,,poster1619AmericasAsia
1619,Regional brain iron and gene expression shed light on neurodegeneration in Parkinsonâ€™s disease,George Thomas,,20210624,80000,20210624,100000,poster1619,EuropeAsia,Poster,,poster1619EuropeAsia
1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets",Benjamin Tendler,,20210623,160000,20210623,170000,poster1141,AmericasEurope,Poster,,poster1141AmericasEurope
1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets",Benjamin Tendler,,20210625,0,20210625,10000,poster1141,AmericasAsia,Poster,,poster1141AmericasAsia
1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets",Benjamin Tendler,,20210622,80000,20210622,100000,poster1141,EuropeAsia,Poster,,poster1141EuropeAsia
1602,A new superficial white matter connectivity atlas of the chimpanzee brain,Maëlig Chauvel,,20210623,160000,20210623,170000,poster1602,AmericasEurope,Poster,,poster1602AmericasEurope
1602,A new superficial white matter connectivity atlas of the chimpanzee brain,Maëlig Chauvel,,20210625,0,20210625,10000,poster1602,AmericasAsia,Poster,,poster1602AmericasAsia
1602,A new superficial white matter connectivity atlas of the chimpanzee brain,Maëlig Chauvel,,20210622,80000,20210622,100000,poster1602,EuropeAsia,Poster,,poster1602EuropeAsia
1238,A new tripartite landmark in human posterior cingulate cortex,Ethan Willbrand,,20210623,160000,20210623,170000,poster1238,AmericasEurope,Poster,,poster1238AmericasEurope
1238,A new tripartite landmark in human posterior cingulate cortex,Ethan Willbrand,,20210625,0,20210625,10000,poster1238,AmericasAsia,Poster,,poster1238AmericasAsia
1238,A new tripartite landmark in human posterior cingulate cortex,Ethan Willbrand,,20210622,80000,20210622,100000,poster1238,EuropeAsia,Poster,,poster1238EuropeAsia
2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,Daniel Spencer,,20210624,160000,20210624,170000,poster2527,AmericasEurope,Poster,,poster2527AmericasEurope
2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,Daniel Spencer,,20210626,0,20210626,10000,poster2527,AmericasAsia,Poster,,poster2527AmericasAsia
2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,Daniel Spencer,,20210622,80000,20210622,100000,poster2527,EuropeAsia,Poster,,poster2527EuropeAsia
2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,Ross Markello,,20210623,160000,20210623,170000,poster2271,AmericasEurope,Poster,,poster2271AmericasEurope
2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,Ross Markello,,20210625,0,20210625,10000,poster2271,AmericasAsia,Poster,,poster2271AmericasAsia
2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,Ross Markello,,20210622,80000,20210622,100000,poster2271,EuropeAsia,Poster,,poster2271EuropeAsia
1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,Roy Haast,,20210624,160000,20210624,170000,poster1177,AmericasEurope,Poster,,poster1177AmericasEurope
1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,Roy Haast,,20210624,0,20210624,10000,poster1177,AmericasAsia,Poster,,poster1177AmericasAsia
1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,Roy Haast,,20210622,80000,20210622,100000,poster1177,EuropeAsia,Poster,,poster1177EuropeAsia
1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,Alicia Northall,,20210624,160000,20210624,170000,poster1390,AmericasEurope,Poster,,poster1390AmericasEurope
