location,name,description,start,duration,eventId
poster1229,Evaluating the capabilities and challenges of layer-fMRI VASO at 3T,"Renzo Huber, Abstract 1229",1624629600,60,poster1229AmericasEurope
poster1229,Evaluating the capabilities and challenges of layer-fMRI VASO at 3T,"Renzo Huber, Abstract 1229",1624399200,60,poster1229AmericasAsia
poster1229,Evaluating the capabilities and challenges of layer-fMRI VASO at 3T,"Renzo Huber, Abstract 1229",1624514400,120,poster1229EuropeAsia
poster2011,Flexible Reconfigurations of Brain Networks in Decisions with Predefined vs. Self-Generated Option,"Qianying Wu, Abstract 2011",1624370400,60,poster2011AmericasEurope
poster2011,Flexible Reconfigurations of Brain Networks in Decisions with Predefined vs. Self-Generated Option,"Qianying Wu, Abstract 2011",1624658400,60,poster2011AmericasAsia
poster2011,Flexible Reconfigurations of Brain Networks in Decisions with Predefined vs. Self-Generated Option,"Qianying Wu, Abstract 2011",1624514400,120,poster2011EuropeAsia
poster1646,Predicting phenotypes based on high-dimensional resting state networks in individuals from big data,"Seyedeh-Rezvan Farahibozorg, Abstract 1646",1624370400,60,poster1646AmericasEurope
poster1646,Predicting phenotypes based on high-dimensional resting state networks in individuals from big data,"Seyedeh-Rezvan Farahibozorg, Abstract 1646",1624485600,60,poster1646AmericasAsia
poster1646,Predicting phenotypes based on high-dimensional resting state networks in individuals from big data,"Seyedeh-Rezvan Farahibozorg, Abstract 1646",1624514400,120,poster1646EuropeAsia
poster1547,A Synergistic Core for Human Brain Evolution and Cognition,"Andrea Luppi, Abstract 1547",1624543200,60,poster1547AmericasEurope
poster1547,A Synergistic Core for Human Brain Evolution and Cognition,"Andrea Luppi, Abstract 1547",1624485600,60,poster1547AmericasAsia
poster1547,A Synergistic Core for Human Brain Evolution and Cognition,"Andrea Luppi, Abstract 1547",1624341600,120,poster1547EuropeAsia
poster1656,Brain volume from 3D ultrasound for fetal growth assessment using deep convolutional neural networks,"Felipe Moser, Abstract 1656",1624543200,60,poster1656AmericasEurope
poster1656,Brain volume from 3D ultrasound for fetal growth assessment using deep convolutional neural networks,"Felipe Moser, Abstract 1656",1624485600,60,poster1656AmericasAsia
poster1656,Brain volume from 3D ultrasound for fetal growth assessment using deep convolutional neural networks,"Felipe Moser, Abstract 1656",1624341600,120,poster1656EuropeAsia
poster1596,Chenonceau: an entire ex vivo human brain 11.7T anatomical and diffusion MRI dataset,"Alexandros Popov, Abstract 1596",1624629600,60,poster1596AmericasEurope
poster1596,Chenonceau: an entire ex vivo human brain 11.7T anatomical and diffusion MRI dataset,"Alexandros Popov, Abstract 1596",1624399200,60,poster1596AmericasAsia
poster1596,Chenonceau: an entire ex vivo human brain 11.7T anatomical and diffusion MRI dataset,"Alexandros Popov, Abstract 1596",1624514400,120,poster1596EuropeAsia
poster1671,"Effects of APOE genotype on subcortical volume: A study of 41,615 MRI scans from the UK Biobank","Alexandra Muir, Abstract 1671",1624284000,60,poster1671AmericasEurope
poster1671,"Effects of APOE genotype on subcortical volume: A study of 41,615 MRI scans from the UK Biobank","Alexandra Muir, Abstract 1671",1624399200,60,poster1671AmericasAsia
poster1671,"Effects of APOE genotype on subcortical volume: A study of 41,615 MRI scans from the UK Biobank","Alexandra Muir, Abstract 1671",1624514400,120,poster1671EuropeAsia
poster2275,Effects of BOLD dynamic changes during micro-sleep on functional connectivity measures,"Chun Siong Soon, Abstract 2275",1624629600,60,poster2275AmericasEurope
poster2275,Effects of BOLD dynamic changes during micro-sleep on functional connectivity measures,"Chun Siong Soon, Abstract 2275",1624312800,60,poster2275AmericasAsia
poster2275,Effects of BOLD dynamic changes during micro-sleep on functional connectivity measures,"Chun Siong Soon, Abstract 2275",1624514400,120,poster2275EuropeAsia
poster2258,Estimating Multimodal Brain Age in the Whitehall II Imaging Sub-Study,"Ann-Marie de Lange, Abstract 2258",1624543200,60,poster2258AmericasEurope
poster2258,Estimating Multimodal Brain Age in the Whitehall II Imaging Sub-Study,"Ann-Marie de Lange, Abstract 2258",1624485600,60,poster2258AmericasAsia
poster2258,Estimating Multimodal Brain Age in the Whitehall II Imaging Sub-Study,"Ann-Marie de Lange, Abstract 2258",1624341600,120,poster2258EuropeAsia
poster1389,Layer-specific myeloarchitecture of human S1 hand area in younger and older adults at 7T-MRI,"Juliane Doehler, Abstract 1389",1624543200,60,poster1389AmericasEurope
poster1389,Layer-specific myeloarchitecture of human S1 hand area in younger and older adults at 7T-MRI,"Juliane Doehler, Abstract 1389",1624485600,60,poster1389AmericasAsia
poster1389,Layer-specific myeloarchitecture of human S1 hand area in younger and older adults at 7T-MRI,"Juliane Doehler, Abstract 1389",1624341600,120,poster1389EuropeAsia
