location,name,description,start,duration,eventId
mainauditorium,Combinatorial Creatures: Cortical Plasticity Within and Across Lifetimes,"Talairach, Speaker: Leah Krubitzer, Moderator: Simon Eickhoff",1624277400,50,uxe65JHaerBSenROXDZ1
mainauditorium,INS-fMRI: a method for mapping mesoscale connectomes in nonhuman primates,"Keynote, Speaker: Anna Wang Roe, Moderator: Randy Gollub",1624363800,50,O0bHpZuQmm45CNZ0Ppt0
mainauditorium,Integrating mesoscale human brain measurements in the human visual pathways,"Keynote, Speaker: Dora Hermes, Moderator: Aina Puce",1624536600,50,h4ZUfpAojOLLd8YgOWWP
mainauditorium,Neurodevelopment of the Association Cortices: Normative Patterns and Implications for Psychopathology,"Keynote, Speaker: Ted Satterthwaite, Moderator: Mallar Chakravarty",1624450200,50,TjQQ7qLqPPnKcb8UziWf
mainauditorium,Characterizing Brain Microstructure Using Magnetic Resonance Imaging: Towards In-Vivo Histology,"Keynote, Speaker: Nikolaus Weiskopf, Moderator: Christophe Phillips",1624623000,50,KYaj6la0fTD3ET4nGs7e
mainauditorium,Combinatorial Creatures: Cortical Plasticity Within and Across Lifetimes,"Talairach, Speaker: Leah Krubitzer, Moderator: Daniel Margulies",1624306200,50,IIxmYexdUMms22LHrTrT
mainauditorium,INS-fMRI: a method for mapping mesoscale connectomes in nonhuman primates,"Keynote, Speaker: Anna Wang Roe, Moderator: TBD",1624565400,50,X9N4uFAyfJ6tYgMzYf92
mainauditorium,Integrating mesoscale human brain measurements in the human visual pathways,"Keynote, Speaker: Dora Hermes, Moderator: Sepideh Sadaghiani",1624392600,50,QyIChZWraja1J1biZFnR
mainauditorium,Neurodevelopment of the Association Cortices: Normative Patterns and Implications for Psychopathology,"Keynote, Speaker: Ted Satterthwaite, Moderator: Emily Finn",1624651800,50,NjrR2XJyjcFBpXd7wMZl
mainauditorium,Characterizing Brain Microstructure Using Magnetic Resonance Imaging: Towards In-Vivo Histology,"Keynote, Speaker: Nikolaus Weiskopf, Moderator: Aman Badhwar",1624479000,50,Wap342qgc6uHoBZLZxuo
symposiumhall1,Neuroanatomy for Neuroimagers: Bringing a systems-level perspective to neuroimaging analyses,Symposium,1624281000,50,HBymznWSKK7dPH4z2S49
symposiumhall2,Current frontiers in statistical inference for neuroimaging data,Symposium,1624281000,50,ZgN4vPJek1gWUnRlAXh5
symposiumhall3,"Neuromodulation of Disrupted Brain Networks: Mechanisms, Optimal Targeting, and Individual Treatment",Symposium,1624281000,50,EfCdkBBke5KBfU3E7ds5
symposiumhall4,All Hands on Deck: Patching the Leaky Academic Pipeline (SP SIG),Symposium,1624281000,50,HiTtXvQVoUB44WQeiaJl
symposiumhall1,Neuroanatomy for Neuroimagers: Bringing a systems-level perspective to neuroimaging analyses,Symposium,1624482600,50,i3o2UnCotj12Giq6e947
symposiumhall2,Current frontiers in statistical inference for neuroimaging data,Symposium,1624482600,50,gHBrDatBtZhQXJWC6Wh1
symposiumhall3,"Neuromodulation of Disrupted Brain Networks: Mechanisms, Optimal Targeting, and Individual Treatment",Symposium,1624482600,50,6NvWb305goVTEP4pZVKh
symposiumhall4,All Hands on Deck: Patching the Leaky Academic Pipeline (SP SIG),Symposium,1624482600,50,nBogBhtrjDeDl0sqF0I6
symposiumhall1,Mapping cortical morphology in the human and non-human primate brain and relations to function,Symposium,1624540200,50,eJwTpjP44DU20IwCKzlr
symposiumhall2,OHBM-DGKN Alliance: International Symposium on Network Reorganization after Stroke,Symposium,1624540200,50,oyadYFEHzBT2Wp0o2CPe
symposiumhall3,Advances in functional neuroimaging of spontaneous thought,Symposium,1624540200,50,TXD4Q68iDYD1Z3g576XB
symposiumhall4,Diversity Round Table: Racial Bias in Neuroscience,Symposium,1624540200,50,U5FSXXDizfVWgxbB4roa
symposiumhall1,Mapping cortical morphology in the human and non-human primate brain and relations to function,Symposium,1624309800,50,DBSacIs7sO1Knm3lBi1L
symposiumhall2,OHBM-DGKN Alliance: International Symposium on Network Reorganization after Stroke,Symposium,1624309800,50,n1rp6u1Olj7zGnXCx0uz
symposiumhall3,Advances in functional neuroimaging of spontaneous thought,Symposium,1624309800,50,4WTfvVl0mhtvq3Wb4xlH
symposiumhall4,Diversity Round Table: Racial Bias in Neuroscience,Symposium,1624309800,50,Z6GFzXgPxSakH3qIAYco
symposiumhall1,"Imaging the Brainstem: Approaches, Challenges and Opportunities",Symposium,1624367400,50,vyaOVawTCiiJxaTZ0C1A
symposiumhall2,Learning from high-dimensional neuroimaging data,Symposium,1624367400,50,GRymf1QbyMaO4gqGHpTO
symposiumhall3,Addressing the Social Limitations in Open Science,Symposium,1624367400,50,TZhyd69hNGfz94wPo3h8
symposiumhall4,PET Imaging of Brain Connectivity: Hype or Future?,Symposium,1624367400,50,E1u7021dvuLIehMzidHD
symposiumhall1,"Imaging the Brainstem: Approaches, Challenges and Opportunities",Symposium,1624569000,50,1peOhL69vLy3e9IZvND9
symposiumhall2,Learning from high-dimensional neuroimaging data,Symposium,1624569000,50,0VjUwdyVpWiHbgF0EdhH
symposiumhall3,Addressing the Social Limitations in Open Science,Symposium,1624569000,50,EIOJr3wZ764WVI0kk4RQ
symposiumhall4,PET Imaging of Brain Connectivity: Hype or Future?,Symposium,1624569000,50,6hOKosPTJ8dnOUK3l43w
symposiumhall1,From bench to bed-side: Quantifying brain microstructure using multi-parameter MRI,Symposium,1624626600,50,gWBYhYFxHzNxeBakdfHX
symposiumhall2,Identifying and reducing model bias in network neuroscience,Symposium,1624626600,50,MI649Rt56T9JB6EcGaso
symposiumhall3,Simultaneous MRI-PET imaging: recent developments and future directions,Symposium,1624626600,50,6AkX98IK2Pg02S4lG9Jt
symposiumhall4,Stress sensitivity as a predictor of long-term vulnerability versus stress resilience,Symposium,1624626600,50,mCcQj1bFEzqvYipvD98M
mainauditorium,How can scientists respond to the climate emergency? A guide from the SEA SIG,Symposium,1624626600,50,98aMNlOeZwHa8hHGebfF
symposiumhall1,From bench to bed-side: Quantifying brain microstructure using multi-parameter MRI,Symposium,1624396200,50,RRga02mHLm3GMJ1yJuQQ
symposiumhall2,Identifying and reducing model bias in network neuroscience,Symposium,1624396200,50,yMcat1FlPkXhvq4LQBTu
