Submission No,Abstract Title,Primary Category Parent Category,Primary Category,Secondary Category Parent Category,Secondary Category,Speaker ID,First Name,Last Name,session
1229,Evaluating the capabilities and challenges of layer-fMRI VASO at 3T,Novel Imaging Acquisition Methods,Non-BOLD fMRI,Novel Imaging Acquisition Methods,BOLD fMRI ,1853,Renzo,Huber,Novel Imaging Acquisition Methods
2011,Flexible Reconfigurations of Brain Networks in Decisions with Predefined vs. Self-Generated Option,Higher Cognitive Functions,Decision Making,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4769,Qianying,Wu,Higher Cognitive Functions
1646,Predicting phenotypes based on high-dimensional resting state networks in individuals from big data,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Classification and Predictive Modeling,3405,Seyedeh-Rezvan,Farahibozorg,Modeling and Analysis - Multivariate approaches
1547,A Synergistic Core for Human Brain Evolution and Cognition,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Neuroanatomy,Anatomy and Functional Systems,2996,Andrea,Luppi,Genetics
1656,Brain volume from 3D ultrasound for fetal growth assessment using deep convolutional neural networks,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Modeling and Analysis Methods,Segmentation and Parcellation,3459,Felipe,Moser,Lifespan Development
1596,Chenonceau: an entire ex vivo human brain 11.7T anatomical and diffusion MRI dataset,Novel Imaging Acquisition Methods,Diffusion MRI ,Neuroinformatics and Data Sharing,Brain Atlases,3180,Alexandros,Popov,Novel Imaging Acquisition Methods
1671,"Effects of APOE genotype on subcortical volume: A study of 41,615 MRI scans from the UK Biobank",Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Neuroanatomy,Subcortical Structures,3533,Alexandra,Muir,Disorders of the Nervous System - Neurodegenerative/Late Life
2275,Effects of BOLD dynamic changes during micro-sleep on functional connectivity measures,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4827,Chun Siong,Soon,Modeling and Analysis - Connectivity
2258,Estimating Multimodal Brain Age in the Whitehall II Imaging Sub-Study,Lifespan Development,Aging ,Modeling and Analysis Methods,Classification and Predictive Modeling,5929,Ann-Marie,de Lange,Lifespan Development
1389,Layer-specific myeloarchitecture of human S1 hand area in younger and older adults at 7T-MRI,Lifespan Development,Aging ,Neuroanatomy,Cortical Cyto- and Myeloarchitecture,2416,Juliane,Doehler,Lifespan Development
1702,Loss of differentiation and complexity in the sleeping human brain: a multi-scale analysis,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Brain Stimulation,Invasive Stimulation Methods Other,2545,Andrea,Pigorini,"Sleep, Consciousness, Pain"
1619,Regional brain iron and gene expression shed light on neurodegeneration in Parkinsonâ€™s disease,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Novel Imaging Acquisition Methods,Imaging Methods Other,3289,George,Thomas,Disorders of the Nervous System - Neurodegenerative/Late Life
1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets",Neuroinformatics and Data Sharing,Databasing and Data Sharing,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",1517,Benjamin,Tendler,Neuroinformatics and Data Sharing
2141,The Latent Network Geometry of The Brain: Toward Geometrical Markers in Brain Network Science?,Neuroanatomy,Anatomy and Functional Systems,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,5297,Alberto,Cacciola,Modeling and Analysis - Multivariate approaches
1602,A new superficial white matter connectivity atlas of the chimpanzee brain,Neuroinformatics and Data Sharing,Brain Atlases,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",3215,MaÃ«lig,Chauvel,Neuroinformatics and Data Sharing
1238,A new tripartite landmark in human posterior cingulate cortex,Neuroanatomy,Cortical Anatomy and Brain Mapping,Neuroanatomy,Anatomy and Functional Systems,1886,Ethan,Willbrand,Neuroanatomy
2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,Modeling and Analysis Methods,Bayesian Modeling,Modeling and Analysis Methods,Modeling and Analysis - Activation,7104,Daniel,Spencer,Modeling and Analysis - Activation
2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,Neuroinformatics and Data Sharing,Workflows,Modeling and Analysis Methods,Methods Development,1559,Ross,Markello,Neuroinformatics and Data Sharing
1569,Accommodating site variation in neuroimaging data using hierarchical and Bayesian models,Modeling and Analysis Methods,Bayesian Modeling,Modeling and Analysis Methods,Methods Development,1884,Johanna,Bayer,Modeling and Analysis - Multivariate approaches
1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,Lifespan Development,Aging ,"Physiology, Metabolism and Neurotransmission",Cerebral Metabolism and Hemodynamics,1631,Roy,Haast,Lifespan Development
1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,Lifespan Development,Aging ,Neuroanatomy,Cortical Cyto- and Myeloarchitecture,2414,Alicia,Northall,Lifespan Development
1814,ASLPrep: A Generalizable Workflow for Processing of Arterial Spin Labeled MRI,Modeling and Analysis Methods,Methods Development,Neuroinformatics and Data Sharing,Workflows,1807,Azeez,Adebimpe,Software Demonstrations
1610,Atlas of functional connectivity relationships across genetic variants and psychiatric conditions,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,3249,Clara,Moreau,Disorders of the Nervous System - Psychiatric
1207,BIDS Statistical Models - An implementation-independent representation of General Linear Models,Neuroinformatics and Data Sharing,Informatics Other,Modeling and Analysis Methods,Univariate Modeling,1717,Christopher,Markiewicz,Modeling and Analysis - Activation
1495,Comparing approaches for estimating regional hemodynamic timing differences in BOLD-fMRI data,"Physiology, Metabolism and Neurotransmission",Cerebral Metabolism and Hemodynamics,Novel Imaging Acquisition Methods,BOLD fMRI ,2473,Jingxuan,Gong,"Physiology, Metabolism and Neurotransmission"
1846,Correlations between cerebral CSF flow and spatiotemporal resting state BOLD signal fluctuations,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other","Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",1552,Bingyang,Cai,"Physiology, Metabolism and Neurotransmission"
1233,Edge-centric analysis of time-varying functional brain networks with applications in autism spectrum,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1496,Farnaz,Zamani Esfahlani,Modeling and Analysis - Connectivity
