location,title,categoryNot,authorName,thumbnailSrc,videoSrc,startTime,category
eduscreeningroom,Lecture 01: Basic concepts of network neuroscience,Educational Course,"Alex Fornito",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Alex_Fornito60ac082979307/thumb.jpg,https://player.vimeo.com/video/555432490,,network neuroscience
eduscreeningroom,Lecture 02: Defining network nodes: how to best represent the brain?,Educational Course,"Janine Bijsterbosch",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Janine_Bijsterbosch60ac082979ea6/thumb.jpg,https://player.vimeo.com/video/555432495,,network neuroscience
eduscreeningroom,Lecture 03: Functional connectivity methods and measures,Educational Course,"Shella Keilholz",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Shella_Keilholz60ac08297a9a4/thumb.jpg,https://player.vimeo.com/video/555432503,,network neuroscience
eduscreeningroom,Lecture 04: Quantifying structural connectivity,Educational Course,"Robert Smith",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Robert_Smith60ac08297b355/thumb.jpg,https://player.vimeo.com/video/555432512,,network neuroscience
eduscreeningroom,"Lecture 05: Statistics for brain networks: Network thresholding, comparison and models",Educational Course,"Andrew Zalesky",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Andrew_Zalesky60ac08297bdc2/thumb.jpg,https://player.vimeo.com/video/555432523,,network neuroscience
eduscreeningroom,Lecture 06: Communication in brain networks,Educational Course,"Misic Bratislav",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Misic_Bratislav60ac082980ea1/thumb.jpg,https://player.vimeo.com/video/555432596,,network neuroscience
eduscreeningroom,Lecture 07: Modules in structural and functional brain networks,Educational Course,"Rick Betzel",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Rick_Betzel60ac0829817f5/thumb.jpg,https://player.vimeo.com/video/555432605,,network neuroscience
eduscreeningroom,Lecture 08: Multilayer networks in neuroscience,Educational Course,"Ann Belvin-Sizemore",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Ann_Belvinsizemore60ac08298213f/thumb.jpg,https://player.vimeo.com/video/555432612,,network neuroscience
eduscreeningroom,Lecture 09: Multi-modal connectomics: combining micro- and macro- connectome data,Educational Course,"Martijn van den Heuvel",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Martijn_VanDenHeuvel60ac082982aa8/thumb.jpg,https://player.vimeo.com/video/555432438,,network neuroscience
eduscreeningroom,Lecture 10: The Virtual Brain simulation platform: Inferring principles of network interactions underlying cognition,Educational Course,"Petra Ritter",https://anyscreeninc.com/PF/OHBM/2021/OHBM-Ed-Courses---Individual/video_files/Petra_Ritter60ac082983486/thumb.jpg,https://player.vimeo.com/video/555432445,,network neuroscience
