Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
Neuroanatomy course: welcome AmericasAsia,Cyril Pernet,,20210531,233000,20210531,234000,neuroanatomy,AmericasAsia,Announcements,750cd8be-bd82-11eb-ab4d-1e00b921e125,
Neuroanatomy: The bridge between chaos and clarity in human brain mapping,Kevin Weiner,,20210531,234000,20210601,512,neuroanatomy,AmericasAsia,CourseVideo,7516919c-bd82-11eb-b7dc-1e00b921e125,
Julich Brain Atlas – Mapping to Discover,Katrin Amunts,,20210601,512,20210601,3127,neuroanatomy,AmericasAsia,CourseVideo,75172e74-bd82-11eb-9647-1e00b921e125,
What neurotransmitter receptor distribution patterns reveal about the brain’s structural and functional organization,Nicola Palomero-Gallagher,,20210601,3127,20210601,5649,neuroanatomy,AmericasAsia,CourseVideo,7517a92e-bd82-11eb-9957-1e00b921e125,
White matter tract analysis using neuroimaging and neuroanatomy datasets,Hiromasa Takemura,,20210601,12000,20210601,14459,neuroanatomy,AmericasAsia,CourseVideo,751810b4-bd82-11eb-a3eb-1e00b921e125,
"In-vivo histology, myelin imaging and beyond - challenges and advances in quantitative MRI",Aviv Mezer,,20210601,14459,20210601,21228,neuroanatomy,AmericasAsia,CourseVideo,751872be-bd82-11eb-b9aa-1e00b921e125,
Neuroanatomy as a window to the developing brain,Kalanit Grill-Spector,,20210601,21228,20210601,23822,neuroanatomy,AmericasAsia,CourseVideo,7518d114-bd82-11eb-92f6-1e00b921e125,
Neuroanatomy course: interactive session,Neuroanatomy team,,20210601,30000,20210601,40000,neuroanatomy,AmericasAsia,Roundtables,751930a8-bd82-11eb-b0f1-1e00b921e125,
Neuroanatomy course: welcome AmericasEurope,Cyril Pernet,,20210531,153000,20210531,154000,neuroanatomy,AmericasEurope,Announcements,7519ac06-bd82-11eb-be23-1e00b921e125,
Neuroanatomy: The bridge between chaos and clarity in human brain mapping,Kevin Weiner,,20210531,154000,20210531,160512,neuroanatomy,AmericasEurope,CourseVideo,751a0912-bd82-11eb-a1bd-1e00b921e125,
Julich Brain Atlas – Mapping to Discover,Katrin Amunts,,20210531,160512,20210531,163127,neuroanatomy,AmericasEurope,CourseVideo,751a669e-bd82-11eb-9d7e-1e00b921e125,
What neurotransmitter receptor distribution patterns reveal about the brain’s structural and functional organization,Nicola Palomero-Gallagher,,20210531,163127,20210531,165649,neuroanatomy,AmericasEurope,CourseVideo,751abbfa-bd82-11eb-89b5-1e00b921e125,
White matter tract analysis using neuroimaging and neuroanatomy datasets,Hiromasa Takemura,,20210531,172000,20210531,174459,neuroanatomy,AmericasEurope,CourseVideo,751b0e48-bd82-11eb-9a0d-1e00b921e125,
"In-vivo histology, myelin imaging and beyond - challenges and advances in quantitative MRI",Aviv Mezer,,20210531,174459,20210531,181228,neuroanatomy,AmericasEurope,CourseVideo,751b6f0a-bd82-11eb-ae6b-1e00b921e125,
Neuroanatomy as a window to the developing brain,Kalanit Grill-Spector,,20210531,181228,20210531,183822,neuroanatomy,AmericasEurope,CourseVideo,751bbfe6-bd82-11eb-87e0-1e00b921e125,
Neuroanatomy course: interactive session,Neuroanatomy team,,20210531,190000,20210531,200000,neuroanatomy,AmericasEurope,Roundtables,751c121e-bd82-11eb-a703-1e00b921e125,
NetNeuro course I: welcome AmericasAsia,Thomas Nichols,,20210601,3000,20210601,4000,netneuro,AmericasAsia,Announcements,751c6228-bd82-11eb-92ea-1e00b921e125,
Basic concepts of network neuroscience,Alex Fornito,,20210601,4000,20210601,11039,netneuro,AmericasAsia,CourseVideo,751cc38c-bd82-11eb-8d0f-1e00b921e125,
Defining network nodes: how to best represent the brain?,Janine Bijsterbosch,,20210601,11039,20210601,14240,netneuro,AmericasAsia,CourseVideo,751d19e2-bd82-11eb-bb36-1e00b921e125,
Functional connectivity methods and measures,Shella Keilholz,,20210601,14240,20210601,21456,netneuro,AmericasAsia,CourseVideo,751d7f7a-bd82-11eb-b3dd-1e00b921e125,
Quantifying structural connectivity,Robert Smith,,20210601,23500,20210601,25954,netneuro,AmericasAsia,CourseVideo,751df342-bd82-11eb-8062-1e00b921e125,
"Statistics for brain networks: Network thresholding, comparison and models",Andrew Zalesky,,20210601,25954,20210601,33740,netneuro,AmericasAsia,CourseVideo,751e457a-bd82-11eb-b45c-1e00b921e125,
NetNeuro course I: interactive session,NetNeuro team,,20210601,40000,20210601,50000,netneuro,AmericasAsia,Roundtables,751e97fa-bd82-11eb-a07d-1e00b921e125,
NetNeuro course I: welcome AmericasEurope,Thomas Nichols,,20210531,163000,20210531,164000,netneuro,AmericasEurope,Announcements,751ee8d8-bd82-11eb-abdc-1e00b921e125,
Basic concepts of network neuroscience,Alex Fornito,,20210531,164000,20210531,171039,netneuro,AmericasEurope,CourseVideo,751f3934-bd82-11eb-93ab-1e00b921e125,
Defining network nodes: how to best represent the brain?,Janine Bijsterbosch,,20210531,171039,20210531,174240,netneuro,AmericasEurope,CourseVideo,751f92c6-bd82-11eb-8c5a-1e00b921e125,
Functional connectivity methods and measures,Shella Keilholz,,20210531,174240,20210531,181456,netneuro,AmericasEurope,CourseVideo,751fe42c-bd82-11eb-91a9-1e00b921e125,
Quantifying structural connectivity,Robert Smith,,20210531,183500,20210531,185954,netneuro,AmericasEurope,CourseVideo,75203576-bd82-11eb-a061-1e00b921e125,
"Statistics for brain networks: Network thresholding, comparison and models",Andrew Zalesky,,20210531,185954,20210531,193740,netneuro,AmericasEurope,CourseVideo,75208686-bd82-11eb-a4a8-1e00b921e125,
NetNeuro course I: interactive session,NetNeuro team,,20210531,200000,20210531,210000,netneuro,AmericasEurope,Roundtables,7520d65c-bd82-11eb-975c-1e00b921e125,
MRS course: welcome AmericasAsia,Sridar Narayanan,,20210601,233000,20210601,234000,mrs,AmericasAsia,Announcements,752126de-bd82-11eb-9490-1e00b921e125,
Introduction to MRS and editing,Robin de Graaf,,20210601,234000,20210602,812,mrs,AmericasAsia,CourseVideo,7521772e-bd82-11eb-81c2-1e00b921e125,
"Limitations and considerations for data acquisition, analysis, and quantification",Ashley Harris,,20210602,812,20210602,3610,mrs,AmericasAsia,CourseVideo,7521c762-bd82-11eb-aabd-1e00b921e125,
MRS in the scope of Open Science,Georg Oeltzschner,,20210602,3610,20210602,10119,mrs,AmericasAsia,CourseVideo,752217e2-bd82-11eb-ab3d-1e00b921e125,
